"chr","pos","strand","Name","Probe_rs","Probe_maf","CpG_rs","CpG_maf","SBE_rs","SBE_maf","Islands_Name","Relation_to_Island","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group","Phantom","DMR","Enhancer","HMM_Island","Regulatory_Feature_Name","Regulatory_Feature_Group","DHS","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"cg18182216","chr1",150978385,"+","cg18182216","rs116471628",0.016942,NA,NA,NA,NA,"chr1:150980735-150981092","N_Shelf","FAM63A;FAM63A;FAM63A;FAM63A;FAM63A","NM_018379;NM_001163259;NM_001163258;NM_001163260;NM_001040217","5'UTR;5'UTR;Body;5'UTR;5'UTR","","RDMR","","","","","",0.986415580618384,1.11267060062196,9.00304658610476,1.5413330217507e-11,4.80494855333898e-06,15.2667465673172
"cg05905531","chr19",8591721,"+","cg05905531",NA,NA,NA,NA,NA,NA,"chr19:8591294-8591842","Island","MYO1F","NM_012335","Body","","","","19:8497324-8497807","","","",-2.00473818837516,2.19157589667078,-8.82887127799422,2.69755283770382e-11,4.80494855333898e-06,14.7812019846162
"cg22568423","chr19",8590567,"+","cg22568423",NA,NA,NA,NA,NA,NA,"chr19:8591294-8591842","N_Shore","MYO1F","NM_012335","Body","","","","19:8496403-8496733","19:8590447-8590584","Gene_Associated_Cell_type_specific","",-2.45854608676932,2.15985733084787,-8.08144125777547,3.08942888680648e-10,3.31164378466401e-05,12.6491812196005
"cg06464781","chr11",64509084,"-","cg06464781",NA,NA,NA,NA,NA,NA,"chr11:64509433-64513826","N_Shore","RASGRP2;RASGRP2;RASGRP2","NM_153819;NM_001098671;NM_001098670","Body;Body;Body","","","","","","","",-1.31748115970881,2.70512335254891,-8.02531087125863,3.71838906894301e-10,3.31164378466401e-05,12.4860967724616
"cg10583997","chr2",32583696,"+","cg10583997",NA,NA,NA,NA,NA,NA,"chr2:32581746-32583265","S_Shore","BIRC6","NM_016252","Body","","RDMR","","","","","",-0.973165829465679,-1.33767941351961,-7.85971407449567,6.43395338669146e-10,4.5841274484838e-05,12.0027317563115
"cg11210343","chr12",95869153,"+","cg11210343",NA,NA,NA,NA,NA,NA,"chr12:95867584-95868019","S_Shore","METAP2","NM_006838","Body","","RDMR","","","","","",-1.19358916746587,-0.662008347970606,-7.79842635084013,7.88610850088655e-10,4.68231120483055e-05,11.8230171923661
"cg21179831","chr6",31508137,"-","cg21179831",NA,NA,NA,NA,NA,NA,"chr6:31509668-31509896","N_Shore","BAT1;BAT1","NM_080598;NM_004640","Body;Body","","RDMR","","","","","",-0.877623364451827,-1.82718282961492,-7.73245970285536,9.82070341165272e-10,4.99796640983461e-05,11.6291036207291
"cg04234016","chr12",7062109,"+","cg04234016",NA,NA,NA,NA,NA,NA,"","OpenSea","PTPN6;PTPN6;PTPN6","NM_002831;NM_080549;NM_080548","Body;Body;Body","","","TRUE","","","","",1.0891570094178,-1.35136563422299,7.56575890494131,1.71225290234034e-09,7.62476918992794e-05,11.1369421526289
"cg06768599","chr14",24785488,"-","cg06768599",NA,NA,NA,NA,NA,NA,"chr14:24785147-24785869","Island","LTB4R;LTB4R","NM_001143919;NM_181657","Body;Body","","","","14:23855003-23855856","","","TRUE",-2.8155570731151,4.32190661188794,-7.42467066765952,2.74522005823656e-09,9.84824067169853e-05,10.7181316322734
"cg08352439","chr7",55637123,"+","cg08352439",NA,NA,NA,NA,NA,NA,"chr7:55639277-55640599","N_Shelf","VOPP1","NM_030796","Body","","CDMR","TRUE","","7:55636992-55637174","Unclassified_Cell_type_specific","",1.1768996721903,0.875051316827144,7.39717233855605,3.01024048283703e-09,9.84824067169853e-05,10.6362750759677
"cg26125366","chr18",31806577,"-","cg26125366","rs141968955",0.0137,NA,NA,NA,NA,"chr18:31804480-31804875","S_Shore","","","","","","","","","","",-1.12587793963886,-0.822987257853254,-7.39414928321911,3.04090295691684e-09,9.84824067169853e-05,10.6272716556979
"cg15735240","chr6",30586360,"+","cg15735240",NA,NA,NA,NA,NA,NA,"chr6:30584885-30585677","S_Shore","MRPS18B;PPP1R10","NM_014046;NM_002714","Body;TSS1500","","","","","","","",-0.828325223151824,-1.37274356466642,-7.3583058138183,3.42931538183688e-09,0.000101806371516873,10.5204545117235
"cg09230763","chr1",27683351,"-","cg09230763",NA,NA,NA,NA,NA,NA,"chr1:27683277-27683590","Island","MAP3K6","NM_004672","Body","","","","1:27555571-27556937","1:27683199-27684897","Promoter_Associated_Cell_type_specific","",1.60277377226213,2.17327855962021,7.27537219280815,4.53031896330293e-09,0.000122731094216419,10.2728458392426
"cg17636309","chr8",144672242,"-","cg17636309",NA,NA,NA,NA,NA,NA,"chr8:144675988-144676207","N_Shelf","EEF1D;EEF1D;EEF1D;EEF1D;EEF1D;EEF1D;EEF1D","NM_032378;NM_001130055;NM_001960;NM_001130056;NM_001130054;NM_001130057;NM_001130053","Body;5'UTR;5'UTR;5'UTR;Body;5'UTR;Body","","","","8:144743018-144743462","","","",-1.25221893085471,2.31576229494043,-7.2567303149032,4.82318437881194e-09,0.000122731094216419,10.2171024189002
"cg20319926","chr16",685686,"-","cg20319926",NA,NA,NA,NA,NA,NA,"chr16:682634-687106","Island","C16orf13;C16orf13;C16orf13;C16orf13;C16orf13","NM_001040160;NM_001040161;NM_032366;NM_001040165;NM_001040162","Body;Body;Body;Body;Body","","","","","","","",-0.941864069820359,-0.979798710909006,-7.2175855661874,5.50158404319067e-09,0.000122872081973913,10.0999512096311
"cg09814127","chr14",103593235,"-","cg09814127",NA,NA,NA,NA,NA,NA,"chr14:103593234-103593923","Island","TNFAIP2","NM_006291","Body","","","","14:102662833-102663676","","","TRUE",-1.53969552524882,3.06662843806147,-7.21667038336887,5.51854288925488e-09,0.000122872081973913,10.0972106843002
"cg00063111","chr3",39448952,"-","cg00063111",NA,NA,NA,NA,NA,NA,"chr3:39447890-39448644","S_Shore","SNORA6;RPSA;RPSA","NR_002325;NM_002295;NM_001012321","TSS1500;5'UTR;TSS200","","","","","3:39447652-39449005","Promoter_Associated","",-1.14341064969338,-1.6608226359539,-7.18405343382763,6.15851578631964e-09,0.000124247910811434,9.99949204354603
"cg01101380","chr1",36039173,"+","cg01101380",NA,NA,NA,NA,NA,NA,"chr1:36038927-36040051","Island","TFAP2E;TFAP2E","NM_178548;NM_178548","5'UTR;1stExon","","","TRUE","1:35811251-35813151","1:36038329-36039236","Unclassified_Cell_type_specific","",-1.50463799649491,-2.39220492901827,-7.12959700504908,7.39756103969975e-09,0.000124247910811434,9.83614447781805
"cg00562553","chr7",27169740,"+","cg00562553",NA,NA,NA,NA,NA,NA,"chr7:27169572-27170638","Island","HOXA4","NM_002141","1stExon","","","","7:27136035-27136818","","","TRUE",-1.45494140741227,1.65615957166248,-7.12881515068604,7.41706475132184e-09,0.000124247910811434,9.83379745032828
"cg14371731","chr10",81003175,"-","cg14371731","rs142423981",0.0311,NA,NA,NA,NA,"chr10:81002109-81003687","Island","ZMIZ1","NM_020338","Body","high-CpG:80671837-80673385","","","10:80672047-80673873","","","",3.29719744193723,-5.05451593653725,7.12735768117142,7.45355997820442e-09,0.000124247910811434,9.82942217952974
"cg11742202","chr6",74364667,"+","cg11742202",NA,NA,NA,NA,NA,NA,"chr6:74363202-74364006","S_Shore","SLC17A5","NM_012434","TSS1500","","","","","6:74364438-74365130","Promoter_Associated","",-1.31963840470491,-1.57991343448236,-7.11590495843983,7.74668678749804e-09,0.000124247910811434,9.79503553988078
"cg07967717","chr1",24229682,"+","cg07967717",NA,NA,NA,NA,NA,NA,"chr1:24229115-24229537","S_Shore","CNR2","NM_001841","5'UTR","","DMR","","","","","TRUE",-1.40587220878396,-1.23703252715234,-7.10109472975572,8.14298367637479e-09,0.000124247910811434,9.75055241013737
"cg13599248","chr6",74364700,"+","cg13599248",NA,NA,NA,NA,NA,NA,"chr6:74363202-74364006","S_Shore","SLC17A5","NM_012434","TSS1500","","","","","6:74364438-74365130","Promoter_Associated","",-1.0891603513684,-1.36146791519492,-7.09345751581479,8.35523632996409e-09,0.000124247910811434,9.72760689489907
"cg02583484","chr12",54677008,"+","cg02583484","rs111503359",0.016562,NA,NA,NA,NA,"chr12:54673322-54673550","S_Shelf","HNRNPA1;HNRPA1L-2;HNRNPA1","NM_002136;NR_002944;NM_031157","Body;Body;Body","","RDMR","","","12:54676759-54677308","Unclassified_Cell_type_specific","",-1.0694685459258,-1.15522904254052,-7.07301735613894,8.95104773661309e-09,0.000124247910811434,9.66617313841566
"cg22041228","chr1",221054273,"+","cg22041228",NA,NA,NA,NA,NA,NA,"chr1:221054554-221054888","N_Shore","HLX","NM_021958","Body","","CDMR","","1:219120836-219120911","","","",-1.25674938481462,-2.86628688661587,-7.07294636864965,8.95318960664556e-09,0.000124247910811434,9.66595972556508
