"chr","pos","strand","Name","Probe_rs","Probe_maf","CpG_rs","CpG_maf","SBE_rs","SBE_maf","Islands_Name","Relation_to_Island","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group","Phantom","DMR","Enhancer","HMM_Island","Regulatory_Feature_Name","Regulatory_Feature_Group","DHS","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"cg11321156","chr21",27372396,"-","cg11321156",NA,NA,NA,NA,NA,NA,"","OpenSea","APP;APP;APP;APP;APP","NM_201413;NM_000484;NM_201414;NM_001136129;NM_001136130","Body;Body;Body;Body;Body","low-CpG:26294233-26294343","","","21:26294251-26294338","21:27372098-27372566","Gene_Associated_Cell_type_specific","",1.05465845332529,0.931053111486169,9.78098812172591,1.32119661186319e-12,4.70669686993202e-07,17.4313283153481
"cg18274664","chr21",27372461,"-","cg18274664",NA,NA,NA,NA,NA,NA,"","OpenSea","APP;APP;APP;APP;APP","NM_201413;NM_000484;NM_201414;NM_001136129;NM_001136130","Body;Body;Body;Body;Body","low-CpG:26294233-26294343","","","21:26294251-26294338","21:27372098-27372566","Gene_Associated_Cell_type_specific","",1.08566518371384,0.910450994273397,8.97039439815718,1.71140287407412e-11,2.76565854308807e-06,15.218684618711
"cg24168308","chr21",27372387,"-","cg24168308",NA,NA,NA,NA,NA,NA,"","OpenSea","APP;APP;APP;APP;APP","NM_201413;NM_000484;NM_201414;NM_001136129;NM_001136130","Body;Body;Body;Body;Body","low-CpG:26294233-26294343","","","21:26294251-26294338","21:27372098-27372566","Gene_Associated_Cell_type_specific","",0.893310045264733,0.98411592266753,8.87448484670356,2.32900830306789e-11,2.76565854308807e-06,14.950317721458
"cg25307665","chr7",27183694,"-","cg25307665",NA,NA,NA,NA,NA,NA,"chr7:27182613-27185562","Island","HOXA5","NM_019102","TSS1500","","","","7:27149871-27150476","7:27182652-27184498","Unclassified","TRUE",2.1990063784846,1.98660476259358,8.51365228074918,7.49091803403654e-11,6.67150523758837e-06,13.9288455133119
"cg03934681","chr10",116697604,"+","cg03934681",NA,NA,NA,NA,NA,NA,"chr10:116697893-116698376","N_Shore","TRUB1","NM_139169","TSS1500","","","","","10:116697460-116698469","Promoter_Associated","",0.808533298454319,-1.73826118538301,8.41030996728893,1.04939420627055e-10,7.47682878025701e-06,13.6329606170196
"cg26264232","chr7",27138751,"-","cg26264232",NA,NA,NA,NA,NA,NA,"chr7:27135342-27136736","S_Shelf","","","","","RDMR","","7:27105249-27105414","","","",-1.52804703552445,-1.93368084469354,-8.22950904225334,1.89753391610329e-10,1.12664494990369e-05,13.1118731809426
"cg14853974","chr17",8218887,"-","cg14853974",NA,NA,NA,NA,NA,NA,"","OpenSea","ARHGEF15","NM_173728","Body","","","TRUE","17:8159496-8160178","","","",0.764187165042016,0.603982520968136,8.18098682918115,2.22567886503839e-10,1.13269566753657e-05,12.9713030441231
"cg17881200","chr7",27138850,"+","cg17881200",NA,NA,NA,NA,NA,NA,"chr7:27135342-27136736","S_Shelf","","","","","RDMR","","7:27105249-27105414","","","",-1.22644142305388,-0.361224768748866,-8.08021598849807,3.10194153515039e-10,1.38131395273706e-05,12.6784146064006
"cg17569124","chr7",27183643,"-","cg17569124",NA,NA,NA,NA,NA,NA,"chr7:27182613-27185562","Island","HOXA5","NM_019102","TSS1500","","","","7:27149871-27150476","7:27182652-27184498","Unclassified","TRUE",1.76623329573458,1.61851049691845,8.00499118502672,3.97665778775831e-10,1.57407161511107e-05,12.4589535713407
"cg27133780","chr3",32474793,"-","cg27133780",NA,NA,NA,NA,NA,NA,"","OpenSea","CMTM7;CMTM7","NM_138410;NM_181472","Body;Body","","","TRUE","","3:32474322-32474949","Promoter_Associated","",0.548541819474739,-0.92612289271938,7.89765496757565,5.6732250850097e-10,2.02105807040928e-05,12.1446272913336
"cg23865240","chr7",27134109,"+","cg23865240",NA,NA,NA,NA,NA,NA,"chr7:27134097-27134303","Island","HOXA1;HOXA1","NM_153620;NM_005522","3'UTR;Body","","RDMR","","","","","",-1.04667852042702,-0.336256640838005,-7.72069273768598,1.02130176673475e-09,3.30757861718565e-05,11.6234826426136
