# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
AAGAB	cg22410743 (-27824)
AATF	cg07660627 (+175796)
ABCB8	cg16072754 (-1605)
ABCC1	cg09109383 (+39731)
ABCC3	cg20271361 (-45396)
ABCC6	cg09109383 (+234156)
ABCE1	cg01713505 (-392)
ABCG1	cg19766460 (-111022)
ABHD17C	cg13805518 (-289860), cg19708986 (-163325)
ABR	cg10801328 (-23817), cg20699780 (+148150)
ACAA2	cg26994526 (-379406)
ACOT12	cg01942845 (-2306)
ACP1	cg26398848 (-1309)
ACPT	cg06875740 (+14250)
ACSBG1	cg13642872 (-65)
ACSF3	cg08891584 (-9161), cg05521982 (-228), cg04252928 (+8383), cg06035645 (+30641)
ACSL5	cg16662938 (-19506)
ACTG1	cg26314966 (+13646)
ACTR2	cg16681246 (+86340)
ACTR6	cg08805500 (-71709)
ACTRT3	cg12962542 (+445308)
ACY3	cg23130075 (-236), cg25835179 (-162), cg06148175 (-19), cg04565008 (-11), cg01240599 (+84)
ADAM12	cg09259235 (-33731), cg17287034 (+179861), cg07244202 (+326053)
ADAMTS16	cg16698038 (+354773)
ADAMTS18	cg01407406 (+733)
ADAMTSL3	cg14598478 (+40224)
ADAMTSL5	cg17147471 (+2603), cg09791746 (+2693)
ADARB2	cg03701930 (-201767), cg00816387 (-195922), cg07514372 (+583103), cg17715243 (+623457)
ADCK2	cg24524451 (-227)
ADCY1	cg20592075 (+307548)
ADCY3	cg01884057 (-7344)
ADCY7	cg02879453 (+21392), cg06897661 (+21648), cg23580000 (+21730)
ADO	cg20684110 (+1235), cg01005506 (+1253), cg12474798 (+1257)
ADRA2C	cg16550757 (-63272), cg02596940 (+64238)
ADSS	cg18379829 (+220228)
AFAP1	cg27200895 (+177949), cg27175016 (+221668)
AFF1	cg08494390 (+124144)
AGPAT9	cg10236603 (+788915)
AGR3	cg04456219 (-352727)
AGTR1	cg06611109 (-735175)
AHDC1	cg13375463 (+31117)
AHNAK2	cg15895213 (-8019)
AHR	cg04456219 (-63908)
AHSP	cg14387505 (-238)
AKAP10	cg12684052 (-2453), cg15193133 (-2325), cg20035980 (+908)
AKAP2	cg13893012 (+51079), cg13783786 (+154595)
ALDH1A3	cg25943719 (+1811)
ALG1	cg02768760 (-3995)
ALG10	cg26248646 (+326085)
ALOX12	cg08366845 (-102638), cg10331082 (-102477), cg01484296 (-102442), cg09705592 (-102264), cg18007837 (-101917), cg26334670 (-101612)
ALPI	cg21566642 (-36171)
ALPPL2	cg21566642 (+13109)
AMIGO2	cg18786123 (-313420)
AMN	cg01565703 (-143902)
AMTN	cg06792975 (-46383)
AMZ1	cg21143896 (+83219), cg12444411 (+83399), cg00947599 (+83542), cg09658497 (+128362), cg19717773 (+128399), cg18446336 (+128420)
AMZ2	cg18117780 (-49307)
ANAPC10	cg01713505 (+661)
ANG	cg07967723 (+46897)
ANK1	cg14316231 (-140821)
ANK2	cg21323720 (+386770)
ANKDD1B	cg27295642 (+45161)
ANKRD33	cg17424856 (+254)
ANKRD62	cg06456717 (-9762)
ANKRD7	cg13799581 (-28771)
ANKS1B	cg08805500 (-144141)
ANO2	cg06582782 (+434136)
ANO4	cg15975750 (-76307), cg25027699 (-1491)
ANO7	cg12524958 (+30648)
ANXA1	cg21222681 (+1071)
ANXA11	cg10775231 (-2339), cg11647108 (-2189), cg06813382 (-1868)
AOC1	cg01559770 (+122745)
AOX1	cg09455823 (+156322)
AP1S3	cg09410512 (+137898)
AP3B1	cg13615516 (+321357)
AP3D1	cg17656426 (+13751)
AP5B1	cg09235723 (+52955)
AP5Z1	cg15176413 (-50809), cg03461110 (-36371), cg11526630 (+30315)
APBA1	cg14123607 (+122512)
APC2	cg18133957 (-794)
APLP2	cg14504497 (-27393)
APP	cg18274664 (+170510), cg11321156 (+170575), cg24168308 (+170584)
APPBP2	cg25910083 (+103393), cg04413853 (+103873), cg12131208 (+103879)
APRT	cg08255475 (+7022)
AQP2	cg25112641 (-317)
AQR	cg22385669 (-746)
ARC	cg08496033 (+15834)
ARGLU1	cg22512830 (-889765)
ARHGAP18	cg25608547 (+780298)
ARHGAP21	cg03337218 (-177270), cg00056066 (+1858), cg26147736 (+275905), cg16366546 (+339801)
ARHGAP23	cg01754780 (+144032)
ARHGAP25	cg25887844 (-471)
ARHGAP28	cg25321854 (+82362), cg22220710 (+176744), cg05836043 (+176915), cg19738980 (+176990)
ARHGAP32	cg18125090 (+201536)
ARHGAP40	cg17142870 (+44796)
ARHGAP44	cg10974219 (-23827), cg09484559 (-609)
ARHGAP9	cg03886558 (+4142)
ARHGEF1	cg18655918 (+41327), cg11666770 (+42396)
ARHGEF10L	cg10115348 (-676)
ARHGEF16	cg01431482 (-381904), cg25618424 (-381682), cg00806481 (-374339), cg24499605 (-228064), cg22497969 (-227971), cg17435683 (-140380), cg08912801 (+28271), cg03114471 (+29791)
ARHGEF28	cg24896460 (+266832)
ARHGEF40	cg09295202 (-3034)
ARHGEF7	cg13127231 (+39326)
ARID3A	cg11454334 (-1241)
ARID5B	cg24495062 (+22288)
ARL6	cg17317561 (+180555)
ARL6IP5	cg00369990 (-4343)
ARL9	cg14775423 (+848)
ARMC1	cg11041239 (-2296)
ARNT2	cg13805518 (+1091), cg19708986 (+127626)
ARNTL	cg25037165 (-475061), cg24517989 (-383842)
ARRB1	cg19086497 (+108128)
ASB13	cg05587400 (-109403)
ASCL2	cg24353535 (-867), cg03024791 (+48920)
ASCL4	cg16273009 (-90)
ASPA	cg12317815 (-12)
ASPDH	cg05886689 (-34749)
ASPG	cg23458356 (+16783)
ASS1	cg14053997 (+38183)
ASTN1	cg25104727 (+132032)
ASXL1	cg12871687 (+126623)
ATE1	cg16121765 (+245543)
ATF4	cg10955164 (+2669)
ATF6B	cg06539391 (+42375), cg19071976 (+69360)
ATG5	cg09354267 (-399), cg14359052 (+226921)
ATG9B	cg16072754 (-2319)
ATIC	cg01280080 (+737), cg06525280 (+764), cg03228449 (+123006)
ATP10A	cg24597512 (-766434), cg14859324 (-766009), cg15066197 (-765848), cg01251603 (-765744), cg18083248 (-592)
ATP11A	cg02417360 (+54031)
ATP12A	cg13793718 (-42300)
ATP13A3	cg21134601 (+93479)
ATP1B1	cg26009832 (+6960)
ATP5H	cg24174307 (-18)
ATP5I	cg01052636 (+22686)
ATP5J	cg18274664 (-265118), cg11321156 (-265053), cg24168308 (-265044)
ATP6V1B1	cg05021771 (-33722)
ATP6V1C2	cg01930746 (+88737)
ATPIF1	cg22862846 (-2100)
ATRIP	cg11557929 (+1155)
ATXN1	cg19344315 (+92037)
AXIN1	cg01388847 (-9770), cg00973118 (+28088)
AZIN1	cg03547517 (+57392)
AZU1	cg17661717 (+6614)
B3GALNT2	cg25193077 (-144329)
B3GALT1	cg16875057 (+330822)
B3GALT4	cg07362537 (-4096), cg12086028 (-3890)
B3GALT5	cg26390598 (+104028)
B3GAT1	cg14106710 (-251571)
B3GNT3	cg14733031 (-1491)
B3GNT7	cg27665808 (-205024), cg07929768 (-204745)
B4GALNT2	cg00617568 (-1553)
B4GALT4	cg08106708 (+36036)
B4GALT5	cg27403406 (+4693)
BAALC	cg19790640 (+892)
BACH2	cg18477569 (+55326)
BAG2	cg10230427 (+1104), cg27164797 (+1108)
BAI1	cg08496033 (+150208)
BAP1	cg13288301 (-2060)
BARHL2	cg04929932 (-12890)
BASP1	cg07760544 (+37447)
BCAN	cg08465120 (+15833), cg12080906 (+34326)
BCAT1	cg23656890 (-15677), cg21172322 (+900), cg08980987 (+1103), cg15990629 (+1135)
BCL11A	ch.2.1382002F (+35152)
BCL11B	cg00926420 (+124251), cg06906435 (+559787)
BCL6B	cg15165676 (-335)
BCL7A	cg12705353 (-100475)
BEAN1	cg08066417 (-48101)
BFSP1	cg09165842 (+215696)
BHLHA9	cg10801328 (-66868)
BHLHE23	cg03733979 (-80232)
BIN1	cg19590598 (+82117)
BIRC3	cg05260877 (-119626)
