"chr","pos","strand","Name","Probe_rs","Probe_maf","CpG_rs","CpG_maf","SBE_rs","SBE_maf","Islands_Name","Relation_to_Island","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group","Phantom","DMR","Enhancer","HMM_Island","Regulatory_Feature_Name","Regulatory_Feature_Group","DHS","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"cg18182216","chr1",150978385,"+","cg18182216","rs116471628",0.016942,NA,NA,NA,NA,"chr1:150980735-150981092","N_Shelf","FAM63A;FAM63A;FAM63A;FAM63A;FAM63A","NM_018379;NM_001163259;NM_001163258;NM_001163260;NM_001040217","5'UTR;5'UTR;Body;5'UTR;5'UTR","","RDMR","","","","","",0.986415580618384,1.11267060062196,9.07288100998609,1.59988385721811e-11,6.16403252508994e-06,15.1985264430806
"cg05905531","chr19",8591721,"+","cg05905531",NA,NA,NA,NA,NA,NA,"chr19:8591294-8591842","Island","MYO1F","NM_012335","Body","","","","19:8497324-8497807","","","",-2.00473818837516,2.19157589667078,-8.74832532134516,4.45517634695061e-11,8.58245171476566e-06,14.3134898030371
"cg22568423","chr19",8590567,"+","cg22568423",NA,NA,NA,NA,NA,NA,"chr19:8591294-8591842","N_Shore","MYO1F","NM_012335","Body","","","","19:8496403-8496733","19:8590447-8590584","Gene_Associated_Cell_type_specific","",-2.45854608676932,2.15985733084787,-7.98989551513671,5.09888966326116e-10,4.92633133365477e-05,12.1865607519308
"cg06464781","chr11",64509084,"-","cg06464781",NA,NA,NA,NA,NA,NA,"chr11:64509433-64513826","N_Shore","RASGRP2;RASGRP2;RASGRP2","NM_153819;NM_001098671;NM_001098670","Body;Body;Body","","","","","","","",-1.31748115970881,2.70512335254891,-7.98895259875813,5.11454665038909e-10,4.92633133365477e-05,12.1838685433863
"cg10583997","chr2",32583696,"+","cg10583997",NA,NA,NA,NA,NA,NA,"chr2:32581746-32583265","S_Shore","BIRC6","NM_016252","Body","","RDMR","","","","","",-0.973165829465679,-1.33767941351961,-7.88247314933562,7.23429674037817e-10,5.5744596962658e-05,11.8791352190405
"cg21179831","chr6",31508137,"-","cg21179831",NA,NA,NA,NA,NA,NA,"chr6:31509668-31509896","N_Shore","BAT1;BAT1","NM_080598;NM_004640","Body;Body","","RDMR","","","","","",-0.877623364451827,-1.82718282961492,-7.78057819655137,1.00904181474116e-09,5.66546266957315e-05,11.5862238416906
"cg11210343","chr12",95869153,"+","cg11210343",NA,NA,NA,NA,NA,NA,"chr12:95867584-95868019","S_Shore","METAP2","NM_006838","Body","","RDMR","","","","","",-1.19358916746587,-0.662008347970606,-7.77448934375985,1.02933551409396e-09,5.66546266957315e-05,11.5686812480417
"cg04234016","chr12",7062109,"+","cg04234016",NA,NA,NA,NA,NA,NA,"","OpenSea","PTPN6;PTPN6;PTPN6","NM_002831;NM_080549;NM_080548","Body;Body;Body","","","TRUE","","","","",1.0891570094178,-1.35136563422299,7.55360342777936,2.12404779513721e-09,0.000102294141813808,10.9293974905736
"cg15735240","chr6",30586360,"+","cg15735240",NA,NA,NA,NA,NA,NA,"chr6:30584885-30585677","S_Shore","MRPS18B;PPP1R10","NM_014046;NM_002714","Body;TSS1500","","","","","","","",-0.828325223151824,-1.37274356466642,-7.4066489615806,3.44646053212193e-09,0.000137000787674622,10.5011135386633
"cg26125366","chr18",31806577,"-","cg26125366","rs141968955",0.0137,NA,NA,NA,NA,"chr18:31804480-31804875","S_Shore","","","","","","","","","","",-1.12587793963886,-0.822987257853254,-7.37231359048829,3.85997199145379e-09,0.000137000787674622,10.4007233518522
